Data Number,Codes,Site Name,Latitude,Longitude,Elevation,Min. Depth,Max Depth,No. Temperatures,Temp. Gradient,No. Conductivities,Conductivity,No. Heat Production,Heat Production,Heat Flow,Red. Heat Flow,No. Sites,Reference No.
SU1117,EFAGHC,SOSNOVSK,52.5,111.5,900,30,160,,20,,2.8,,,57,3,39,83
SU1118,,OZERNYE,52.9667,111.5667,,,,,,,,,,34,2,,
SU1119,EFABHC,GUNDINSK,52.8,111.6667,1000,40,257,999,26,16,2.8,,,73,2,37,76
SU1120,EFAGHC,CHERNOVS,52.0333,113.15,900,,,,28,,2.1,,,60,1,39,83
SU1121,EFAGHC,KARPOVS3,52.2,113.5167,700,,,,28,,2.3,,,66,1,39,83
SU1122,EFAGHC,ZIL'ZINS,52.55,116.2167,600,20,400,999,25,,2.1,,,52,1,37,76
SU1123,EFAGHC,OLOVSKII,52.4667,116.7167,600,20,300,999,24,,2.1,,,50,1,37,76
SU1124,EFAGHC,BUKACHAC,52.9667,116.9,700,20,200,999,24,,2.1,,,51,1,37,76
SU1125,EFAGHC,DLYUNSKI,52.2,117.45,700,,,999,21,,2.3,,,48,1,37,76
SU1126,,NORAN,51.0167,105.7,,,,,,,,,,45,4,,
SU1127,EFAFHB,HOLBODGI,51.15,106.4667,650,30,91,7,20,,2.3,,,46,3,40,76
SU1128,EFAFHB,IVOLGIN4,51.7833,107.1833,600,70,130,999,18,,2.5,,,45,1,40,76
SU1129,EFAEHB,IVOLGIN,51.6667,107.25,610,20,240,30,23,9,2.2,,,56,3,57,72
SU1130,EFAEIA,MUH-SHIB,51,107.6667,780,70,130,24,23,18,2.16,,,50,2,57,72
SU1131,EFAEHB,UL-UDE52,51.75,107.6667,500,110,180,14,30,9,1.97,,,59,1,57,72
SU1132,EFAEHB,ONOHOI 7,51.8333,107.8333,500,100,300,20,26,21,2.14,,,56,1,57,72
SU1133,EFAEHB,P-ZABAIK,51.1667,108.6667,820,40,220,24,21,30,2.5,,,50,3,57,72
SU1134,EFABHC,P-ZABAIK,51.2667,108.8333,800,20,119,6,25,7,2.2,,,55,2,40,76
SU1135,EFAEBA,BOM-GORH,51.25,109.25,1210,40,150,76,21,23,2.66,,,63,5,57,72
SU1136,EFABHC,MOGZONSK,51.65,111.9167,1000,40,313,50,16,9,1.8,,,29,4,40,76
SU1137,EFAGHC,DARASUN,51.2,113.7167,800,70,150,,28,,2.5,,,70,1,39,83
SU1138,EFAGHC,SARBAKTU,51.45,116.3833,600,,,,33,,2.1,,,70,1,39,83
SU1139,EFAGHC,KALANGUI,51.0333,116.5333,800,20,100,999,20,,2.6,,,52,1,39,83
SU1140,EFAGHC,BELEISK,51.6167,116.8167,650,,,,26,,2.1,,,54,1,39,83
SU1141,EFABHB,HOLTOSON,50.3167,103.3,1650,30,445,150,25,33,2.7,,,69,5,40,76
SU1142,EFAEBA,GUJIRSK,50.3333,103.4167,1580,80,360,52,26,70,2.58,,,75,6,57,72
SU1143,EFABHB,INKURSKI,50.3333,103.4167,1600,30,195,70,22,12,3,,,67,7,40,76
SU1144,EFAGHC,STEPNOI2,50.7,105.7333,650,100,1100,999,16,,2.2,,,35,1,40,76
SU1145,EFAGHC,STEPNOI1,50.6667,105.8,650,103,800,999,26,,2.6,,,68,1,40,76
SU1146,EFAGHC,STEPNOI3,50.6333,105.85,650,303,665,999,19,,2.8,,,52,1,40,76
SU1147,EFABHB,TAMSHINS,50.9167,106.3333,550,20,130,999,22,3,1.9,,,42,2,40,76
SU1148,EFAEIB,TEMNI184,50.9167,106.3333,550,30,110,14,29,3,1.95,,,56,1,57,72
SU1149,EFAFHC,YAMAROVS,50.6167,110.2833,1000,100,300,999,33,,2.4,,,79,1,39,83
SU1150,EFAFHC,DURULYUM,50.3667,114.3333,900,20,300,999,33,,2.4,,,79,1,39,83
SU1151,EFAFHC,URULYUNG,50.15,118.2167,700,100,1000,999,36,,2.4,,,84,1,39,83
SU1152,,ELANTSY8,52.8333,106.6667,,,,,,,,,,49,2,,
SU1153,EFAEHC,DULAN 7,52.25,107,550,55,80,,38,,2.09,,,79,1,57,72
SU1154,EFAEHC,KOLESO11,52,106.5833,500,90,300,,30,,2.09,,,63,1,57,72
SU1155,EFAEHC,SELENG1,51.9167,106.75,580,50,70,,20,3,2.93,,,59,1,57,72
SU1156,EFAEHC,TARAKAN6,52,107,500,70,190,,29,21,2.55,,,73,1,57,72
SU1157,,ILINKA75,52.0833,107.25,,,,,,,,,,55,2,,
SU1158,EFAEHC,ULAN52,51.75,107.6667,500,110,180,,30,9,1.97,,,59,1,57,72
SU1159,EFAEHC,ONOKHOI7,51.8333,107.9167,500,100,300,,26,21,2.14,,,56,1,57,72
SU1160,EFAEHC,KHORINSK,52.0833,109.5833,700,20,100,,36,11,1.97,,,71,1,57,72
SU1161,,PETR-Z21,51.1667,108.6667,,,,,,,,,,47,3,,
SU1162,EFAEHC,KRASNO2,51.6667,107.25,670,160,240,,22,4,2.51,,,55,1,57,72
SU1163,,OSHURK68,51.9167,107.4167,,,,,,,,,,54,2,,
